domainID	software	shortname	longname	genes_with_domain	total_observed_domains	average_domain_length
PF01507	Pfam	Phosphoadenosine phosphosulfate reductase family	Phosphoadenosine phosphosulphate reductase	4	4	181.0
PS00573	ProSitePatterns	Pyridine nucleotide-disulphide oxidoreductases class-II active site.	Pyridine nucleotide-disulphide oxidoreductase, class-II, active site	1	1	23.0
PF07749	Pfam	Endoplasmic reticulum protein ERp29, C-terminal domain	Endoplasmic reticulum, protein ERp29, C-terminal	2	2	67.5
PS51324	ProSiteProfiles	ERV/ALR sulfhydryl oxidase domain profile.	ERV/ALR sulfhydryl oxidase domain	3	3	103.0
SSF51905	SUPERFAMILY		FAD/NAD(P)-binding domain	1	1	308.0
PF13462	Pfam	Thioredoxin	Thioredoxin-like fold	2	2	167.5
PS51354	ProSiteProfiles	Glutaredoxin domain profile.	Glutaredoxin	1	3	101.333333333
SSF54236	SUPERFAMILY		Ubiquitin-related domain	4	6	93.6666666667
SSF48452	SUPERFAMILY		Tetratricopeptide-like helical domain	6	11	99.0909090909
PS51352	ProSiteProfiles	Thioredoxin domain profile.	Thioredoxin domain	77	94	128.042553191
SSF52402	SUPERFAMILY			4	4	195.5
PS00194	ProSitePatterns	Thioredoxin family active site.	Thioredoxin, conserved site	44	58	19.0
PF04777	Pfam	Erv1 / Alr family	ERV/ALR sulfhydryl oxidase domain	3	3	94.3333333333
PF13174	Pfam	Tetratricopeptide repeat	Tetratricopeptide repeat	1	1	30.0
PS50005	ProSiteProfiles	TPR repeat profile.	Tetratricopeptide repeat	6	28	34.0
SSF56784	SUPERFAMILY		HAD-like domain	1	1	240.0
SSF48208	SUPERFAMILY		Six-hairpin glycosidase-like	1	1	397.0
PF00085	Pfam	Thioredoxin	Thioredoxin domain	91	108	93.1203703704
PF13848	Pfam	Thioredoxin-like domain		11	11	169.909090909
PF03947	Pfam	Ribosomal Proteins L2, C-terminal domain	Ribosomal protein L2, C-terminal	2	2	61.0
SSF53098	SUPERFAMILY		Ribonuclease H-like domain	1	1	127.0
Coil	Coils			10	12	23.9166666667
PF00789	Pfam	UBX domain	UBX domain	4	6	52.3333333333
PF13905	Pfam	Thioredoxin-like	Thioredoxin-like fold	3	6	92.6666666667
PF00515	Pfam	Tetratricopeptide repeat	Tetratricopeptide repeat 1	2	2	33.0
PF01436	Pfam	NHL repeat	NHL repeat	1	2	25.5
SSF101898	SUPERFAMILY			1	1	330.0
SSF50104	SUPERFAMILY		Translation protein SH3-like domain	2	2	66.0
SSF69000	SUPERFAMILY		ERV/ALR sulfhydryl oxidase domain	3	3	105.0
PF02966	Pfam	Mitosis protein DIM1	Dim1 family	1	1	133.0
PF13456	Pfam	Reverse transcriptase-like		1	1	122.0
PF03107	Pfam	C1 domain	DC1	2	2	42.5
PF13432	Pfam	Tetratricopeptide repeat		2	2	55.5
PF13419	Pfam	Haloacid dehalogenase-like hydrolase	HAD-like domain	1	1	184.0
PS51257	ProSiteProfiles	Prokaryotic membrane lipoprotein lipid attachment site profile.		1	1	17.0
SSF52833	SUPERFAMILY		Thioredoxin-like fold	102	149	115.248322148
PS50293	ProSiteProfiles	TPR repeat region circular profile.	Tetratricopeptide repeat-containing domain	6	8	164.25
PF13414	Pfam	TPR repeat	Tetratricopeptide-like helical domain	3	3	40.6666666667
PF13899	Pfam	Thioredoxin-like		4	4	80.0
SSF57889	SUPERFAMILY			2	2	55.0
PF13850	Pfam	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)		4	4	89.25
PF13181	Pfam	Tetratricopeptide repeat	Tetratricopeptide repeat	2	2	29.5
PS50033	ProSiteProfiles	UBX domain profile.	UBX domain	4	6	81.3333333333
PS50330	ProSiteProfiles	Ubiquitin-interacting motif (UIM) domain profile.	Ubiquitin interacting motif	2	2	20.0
PF07992	Pfam	Pyridine nucleotide-disulphide oxidoreductase	FAD/NAD(P)-binding domain	1	1	296.0
SSF47933	SUPERFAMILY		Endoplasmic reticulum, protein ERp29, C-terminal	3	3	71.0
PF03190	Pfam	Protein of unknown function, DUF255	Domain of unknown function DUF255	1	1	162.0
SSF46934	SUPERFAMILY		UBA-like	2	2	42.0
PF00462	Pfam	Glutaredoxin	Glutaredoxin	1	3	64.3333333333
PF14555	Pfam	UBA-like domain		4	4	38.5
PF07970	Pfam	Endoplasmic reticulum vesicle transporter	Endoplasmic reticulum vesicle transporter, C-terminal	4	4	179.0
